Country_Name, GDP_per_capita, Net_National_Income_per_capita
Aruba,,
Afghanistan,507.103431871987,490.232352907166
Angola,2790.72661520665,1700.31867436366
Albania,5353.2448564014,4319.48763879351
Andorra,40886.3911648431,
Arab World,6584.74024069285,5510.6364759459
United Arab Emirates,43103.3230583165,39305.7675610754
Argentina,9912.28180859803,8160.57202868847
Armenia,4622.73349328671,4024.13447663026
American Samoa,,
Antigua and Barbuda,17112.8211347326,
Australia,55057.2046960666,42151.0863753148
Austria,50121.5542131186,41179.5489288613
Azerbaijan,4793.12555908722,3501.65035580474
Burundi,261.247472515742,199.887675605997
Belgium,46345.4032925223,38162.8622895175
Benin,1219.43267185875,1058.61679238682
Burkina Faso,786.895631290168,672.730825720067
Bangladesh,1855.73982408046,1777.27642581804
Bulgaria,9828.14851478139,8260.45733984195
Bahrain,23503.977126673,19490.4967773057
"Bahamas, The",34863.7420984795,31439.6589938079
Bosnia and Herzegovina,6108.51069581338,5113.44435730803
Belarus,6697.96861498416,5283.94448178631
Belize,4815.1637107951,3549.69801895548
Bermuda,116889.952676215,
Bolivia,3552.0687602631,2986.57032985153
Brazil,8717.18627810819,7628.82816050936
Barbados,18148.2449264001,15641.3087639485
Brunei Darussalam,31086.7511188028,24694.5022343079
Bhutan,3316.17571350084,2719.83882224867
Botswana,7961.32518123885,5617.69927936339
Central African Republic,467.907440636335,404.479805752492
Canada,46189.6601146616,37829.4827350539
Central Europe and the Baltics,16298.4787641658,13350.8721278776
Switzerland,81989.4435119161,65600.0554669657
Channel Islands,,
Chile,14896.4538665789,11718.5466754139
China,10216.6303341031,8393.68072537849
Cote d'Ivoire,2276.33327906444,2115.36973289185
Cameroon,1507.45020591288,1262.06230169077
"Congo, Dem. Rep.",580.716867207745,506.955985522904
"Congo, Rep.",2279.96913053355,658.037998452618
Colombia,6428.67620562768,5246.15742406164
Comoros,1370.14820676715,1228.47242628294
Cabo Verde,3603.78179304514,2997.52022387313
Costa Rica,12243.8114267607,10791.9853849616
Caribbean small states,10500.9719018527,8939.95033046892
Cuba,,
Curacao,19701.270377457,
Cayman Islands,,
Cyprus,27858.3709958327,
Czech Republic,23489.8386627318,17342.7220810602
Germany,46467.5162023856,39093.1996326587
